Arsenal,Manchester City,Manchester United,Aston Villa,Chelsea,Liverpool,Brentford,Everton,AFC Bournemouth,Fulham,Sunderland,Newcastle United,Crystal Palace,Brighton & Hove Albion,Leeds United,Tottenham Hotspur,Nottingham Forest,West Ham United,Burnley,Wolverhampton Wanderers
9383.0,617.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
616.0,9191.0,116.0,48.0,26.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,169.0,4353.0,1936.0,2247.0,1220.0,63.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,21.0,2506.0,2591.0,2639.0,1965.0,221.0,34.0,5.0,9.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,1770.0,2604.0,2434.0,2347.0,618.0,112.0,15.0,35.0,21.0,19.0,2.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,918.0,2102.0,1760.0,2776.0,1513.0,418.0,105.0,146.0,91.0,95.0,16.0,59.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,268.0,550.0,623.0,1121.0,3699.0,1332.0,495.0,584.0,359.0,494.0,116.0,356.0,3.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,53.0,114.0,159.0,375.0,1783.0,2215.0,1070.0,1082.0,841.0,1166.0,281.0,842.0,18.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,13.0,49.0,78.0,129.0,960.0,1820.0,1399.0,1352.0,1063.0,1426.0,506.0,1187.0,17.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,2.0,4.0,23.0,47.0,553.0,1463.0,1515.0,1449.0,1331.0,1480.0,726.0,1343.0,60.0,3.0,1.0,0.0,0.0,0.0
0.0,0.0,1.0,2.0,9.0,11.0,314.0,1061.0,1503.0,1567.0,1424.0,1502.0,1017.0,1435.0,131.0,11.0,10.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,5.0,169.0,772.0,1381.0,1455.0,1590.0,1303.0,1455.0,1511.0,293.0,33.0,21.0,11.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,2.0,84.0,483.0,1231.0,1228.0,1583.0,1240.0,1921.0,1459.0,587.0,100.0,62.0,19.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,21.0,245.0,947.0,890.0,1301.0,951.0,2615.0,1190.0,1288.0,282.0,173.0,97.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.0,288.0,169.0,334.0,277.0,1076.0,472.0,4074.0,1732.0,926.0,618.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,43.0,31.0,48.0,40.0,227.0,103.0,2110.0,3165.0,2578.0,1644.0,7.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,10.0,2.0,39.0,19.0,1006.0,2707.0,3293.0,2886.0,31.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,409.0,1930.0,2827.0,4612.0,196.0,20.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,36.0,107.0,107.0,7677.0,2070.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,2089.0,7906.0
