Paris Saint-Germain,Lens,Lille,Marseille,Lyon,Stade Rennais,AS Monaco,Strasbourg,Toulouse,Lorient,Brest,Angers,Paris FC,Le Havre AC,Nice,AJ Auxerre,Nantes,Metz
9879.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121.0,9614.0,51.0,194.0,13.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,237.0,2667.0,5456.0,790.0,186.0,643.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,28.0,3740.0,2379.0,1837.0,620.0,1263.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2040.0,1178.0,2784.0,1451.0,2032.0,514.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1043.0,522.0,2233.0,2312.0,2614.0,1269.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,367.0,214.0,1645.0,3361.0,2095.0,2233.0,14.0,69.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,91.0,56.0,657.0,2017.0,1292.0,5001.0,189.0,627.0,63.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,1.0,40.0,51.0,52.0,683.0,2700.0,5080.0,1149.0,79.0,155.0,8.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,2.0,3.0,121.0,3731.0,2688.0,2627.0,334.0,463.0,28.0,2.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,2492.0,1209.0,4075.0,871.0,1223.0,98.0,10.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,729.0,268.0,1500.0,2892.0,3758.0,672.0,152.0,27.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,47.0,521.0,3876.0,3031.0,1634.0,568.0,195.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,4.0,58.0,1565.0,1077.0,4147.0,2292.0,835.0,4.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,356.0,268.0,2538.0,4439.0,2324.0,66.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,18.0,858.0,2476.0,5960.0,606.0,55.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,60.0,639.0,7362.0,1922.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1961.0,8019.0
