Palmeiras,Flamengo,São Paulo,Fluminense,Bahia,Athletico Paranaense,Coritiba,Atlético-MG,Red Bull Bragantino,Vitória,Botafogo,Grêmio,Vasco da Gama,Internacional,Santos,Corinthians,Cruzeiro,Remo,Chapecoense,Mirassol
6617.0,2225.0,333.0,265.0,431.0,98.0,7.0,15.0,0.0,3.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
2183.0,3791.0,1206.0,863.0,1303.0,461.0,45.0,70.0,17.0,4.0,11.0,19.0,11.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0
708.0,1927.0,2025.0,1722.0,2070.0,901.0,160.0,231.0,43.0,29.0,38.0,48.0,24.0,51.0,20.0,1.0,2.0,0.0,0.0,0.0
312.0,964.0,1935.0,1938.0,2031.0,1324.0,322.0,417.0,121.0,88.0,149.0,134.0,67.0,129.0,58.0,8.0,3.0,0.0,0.0,0.0
108.0,562.0,1585.0,1766.0,1538.0,1624.0,599.0,712.0,260.0,178.0,242.0,245.0,149.0,267.0,127.0,18.0,15.0,4.0,1.0,0.0
49.0,294.0,1154.0,1276.0,1067.0,1627.0,868.0,1026.0,490.0,324.0,419.0,414.0,310.0,411.0,210.0,39.0,16.0,5.0,0.0,1.0
14.0,126.0,711.0,814.0,632.0,1270.0,1120.0,1278.0,689.0,484.0,532.0,677.0,460.0,623.0,411.0,94.0,52.0,5.0,1.0,7.0
6.0,56.0,393.0,532.0,394.0,852.0,1184.0,1281.0,855.0,646.0,757.0,779.0,614.0,851.0,502.0,159.0,107.0,20.0,2.0,10.0
2.0,31.0,282.0,319.0,205.0,570.0,1174.0,1077.0,969.0,713.0,878.0,975.0,790.0,929.0,658.0,236.0,149.0,27.0,2.0,14.0
1.0,7.0,143.0,200.0,143.0,447.0,1052.0,942.0,1051.0,791.0,898.0,1055.0,871.0,957.0,753.0,350.0,244.0,60.0,5.0,30.0
0.0,7.0,107.0,122.0,88.0,257.0,877.0,849.0,1047.0,933.0,942.0,1019.0,972.0,980.0,903.0,426.0,304.0,88.0,9.0,70.0
0.0,3.0,62.0,86.0,45.0,240.0,749.0,588.0,972.0,975.0,1002.0,917.0,1095.0,1018.0,983.0,579.0,406.0,150.0,26.0,104.0
0.0,2.0,40.0,46.0,26.0,132.0,586.0,518.0,861.0,1016.0,956.0,944.0,1023.0,977.0,1048.0,804.0,601.0,247.0,36.0,137.0
0.0,1.0,15.0,30.0,15.0,78.0,484.0,365.0,808.0,1036.0,897.0,845.0,1006.0,825.0,1123.0,990.0,770.0,371.0,77.0,264.0
0.0,1.0,5.0,12.0,8.0,62.0,361.0,276.0,702.0,966.0,808.0,708.0,910.0,731.0,1045.0,1265.0,1032.0,567.0,148.0,393.0
0.0,3.0,4.0,5.0,3.0,33.0,215.0,203.0,509.0,775.0,683.0,561.0,769.0,546.0,902.0,1478.0,1468.0,840.0,275.0,728.0
0.0,0.0,0.0,4.0,1.0,17.0,115.0,104.0,342.0,578.0,433.0,352.0,529.0,390.0,657.0,1531.0,1732.0,1404.0,572.0,1239.0
0.0,0.0,0.0,0.0,0.0,6.0,62.0,37.0,176.0,330.0,230.0,203.0,251.0,207.0,370.0,1082.0,1570.0,2175.0,1239.0,2062.0
0.0,0.0,0.0,0.0,0.0,1.0,18.0,11.0,69.0,107.0,92.0,88.0,111.0,80.0,184.0,702.0,1025.0,2413.0,2408.0,2691.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,19.0,24.0,31.0,16.0,38.0,16.0,39.0,238.0,504.0,1624.0,5199.0,2250.0
