Bayern Munich,Borussia Dortmund,VfB Stuttgart,RB Leipzig,Bayer Leverkusen,TSG Hoffenheim,Eintracht Frankfurt,SC Freiburg,Mainz,FC Augsburg,1. FC Union Berlin,Hamburg SV,FC Cologne,Borussia Mönchengladbach,Werder Bremen,St. Pauli,VfL Wolfsburg,1. FC Heidenheim 1846
10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,9919.0,21.0,59.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,76.0,3233.0,5617.0,819.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5.0,3840.0,3172.0,2023.0,960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1924.0,924.0,4414.0,2738.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,982.0,228.0,2741.0,6037.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2.0,10.0,6201.0,3722.0,37.0,23.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,3564.0,5861.0,298.0,176.0,69.0,17.0,5.0,9.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,213.0,372.0,4266.0,2216.0,1414.0,372.0,591.0,529.0,24.0,3.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,12.0,41.0,2448.0,2560.0,1814.0,879.0,1221.0,897.0,120.0,8.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1375.0,1942.0,1899.0,1462.0,1763.0,1210.0,293.0,54.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,825.0,1332.0,1757.0,1875.0,1974.0,1504.0,600.0,133.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,455.0,937.0,1515.0,2048.0,1829.0,1915.0,1027.0,271.0,3.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,589.0,1128.0,1914.0,1594.0,2231.0,1715.0,582.0,17.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,208.0,359.0,1161.0,748.0,1351.0,4349.0,1654.0,105.0,7.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,17.0,42.0,270.0,272.0,349.0,1808.0,6169.0,929.0,136.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,63.0,1011.0,6975.0,1943.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,1971.0,7914.0
