Barcelona,Real Madrid,Villarreal,Atlético Madrid,Real Betis,Celta Vigo,Real Sociedad,Getafe,Osasuna,Espanyol,Girona,Athletic Club,Rayo Vallecano,Valencia,Mallorca,Sevilla,Alavés,Elche,Levante,Real Oviedo
9915.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.0,9836.0,78.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,79.0,9016.0,905.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,906.0,9055.0,28.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,38.0,6138.0,2026.0,1376.0,284.0,60.0,17.0,47.0,12.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,2357.0,3867.0,2260.0,845.0,292.0,100.0,158.0,94.0,7.0,6.0,10.0,3.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,966.0,2408.0,2867.0,1681.0,880.0,341.0,436.0,258.0,74.0,32.0,36.0,10.0,5.0,6.0,0.0,0.0
0.0,0.0,0.0,0.0,366.0,1053.0,1621.0,2402.0,1751.0,718.0,922.0,629.0,234.0,91.0,137.0,34.0,25.0,17.0,0.0,0.0
0.0,0.0,0.0,0.0,105.0,389.0,918.0,1900.0,1879.0,1177.0,1347.0,1026.0,467.0,245.0,293.0,95.0,105.0,53.0,1.0,0.0
0.0,0.0,0.0,0.0,28.0,161.0,473.0,1166.0,1564.0,1408.0,1707.0,1340.0,767.0,385.0,488.0,171.0,199.0,139.0,4.0,0.0
0.0,0.0,0.0,0.0,10.0,59.0,253.0,791.0,1255.0,1481.0,1507.0,1428.0,942.0,583.0,751.0,288.0,373.0,272.0,7.0,0.0
0.0,0.0,0.0,0.0,1.0,20.0,126.0,471.0,928.0,1364.0,1203.0,1422.0,1200.0,858.0,944.0,443.0,585.0,420.0,14.0,1.0
0.0,0.0,0.0,0.0,1.0,4.0,61.0,261.0,613.0,1152.0,938.0,1216.0,1304.0,1099.0,1171.0,690.0,815.0,647.0,26.0,2.0
0.0,0.0,0.0,0.0,0.0,2.0,27.0,115.0,379.0,879.0,692.0,1017.0,1259.0,1288.0,1314.0,1008.0,1009.0,936.0,67.0,8.0
0.0,0.0,0.0,0.0,0.0,1.0,14.0,60.0,241.0,651.0,466.0,670.0,1209.0,1439.0,1310.0,1265.0,1320.0,1169.0,162.0,23.0
0.0,0.0,0.0,0.0,0.0,0.0,3.0,18.0,114.0,372.0,329.0,486.0,1027.0,1450.0,1225.0,1674.0,1485.0,1472.0,274.0,71.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,34.0,241.0,174.0,271.0,837.0,1343.0,1123.0,1885.0,1608.0,1698.0,606.0,175.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,85.0,70.0,119.0,550.0,962.0,861.0,1705.0,1743.0,2042.0,1367.0,487.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,4.0,12.0,112.0,204.0,277.0,650.0,614.0,904.0,5182.0,2025.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,14.0,59.0,79.0,114.0,225.0,2290.0,7208.0
